title,address,region,price_display,annual_rent,floor_area,land_area,property_type,zoning,yield_pct,site_coverage,dev_score,is_leased,lease_expiry,agent,url,listed_date,description
High-stud Warehouse — Leased Investment,"14 Hamatana Road, Snells Beach, Auckland",Auckland,"$3,250,000",270000,1850,3200,Warehouse,Light Industrial,8.3%,1%,3.1,Yes,2030,Bayleys Commercial,https://www.bayleys.co.nz/demo/001,2024-04-01,"Modern 1,850m² high-stud warehouse fully leased to an established logistics company. New 6-year lease in place with 2 rights of renewal. Net yield of 8.3%. Large sealed yard, 3-phase power, container wash-down bay."
"Industrial Investment — Long Lease, Hamilton","22 Sunshine Avenue, Te Rapa, Hamilton",Waikato,"$2,850,000",215000,1200,2400,Industrial,General Industrial,7.5%,0%,2.8,Yes,2029,Colliers Hamilton,https://www.colliers.co.nz/demo/002,2024-03-20,"Solid 1,200m² workshop and warehouse leased to a national company on a 5+5 lease. Net yield of 7.5%. Excellent location in Te Rapa industrial precinct. Large hardstand yard, good truck access."
Christchurch Distribution Centre — Net 7.1%,"65 Waterloo Road, Hornby, Christchurch",Canterbury,"$4,800,000",340800,2500,5000,Warehouse / Distribution,General Industrial,7.1%,0%,2.3,Yes,2031,Bayleys Canterbury,https://www.bayleys.co.nz/demo/003,2024-02-15,"Modern 2,500m² distribution centre on a 5,000m² site in Hornby's prime industrial zone. Leased to a leading FMCG company on a new 7-year term. Includes 400m² office, container-height roller doors, full sprinkler system."
Tauranga Industrial Unit — Leased,"8 Wallace Crescent, Greerton, Tauranga",Bay of Plenty,"$1,450,000",95500,520,900,Industrial Unit,Light Industrial,6.6%,1%,2.2,Yes,2027,Ray White Commercial Bay of Plenty,https://www.trademe.co.nz/demo/004,2024-04-05,"510m² workshop unit, fully leased to a trade services company. 6.6% net yield. Three-phase power, roller door access, small office and amenities. Good access to Port of Tauranga."
Napier Warehouse Investment — 6.8% Net,"34 Ford Road, Onekawa, Napier",Hawke's Bay,"$2,100,000",142800,1050,1800,Warehouse,General Industrial,6.8%,1%,1.8,Yes,2028,Colliers Napier,https://www.colliers.co.nz/demo/005,2024-03-10,"Well-presented 1,050m² warehouse in Napier's established Onekawa industrial precinct. New 4-year lease with rights of renewal. Net yield of 6.8%. Modern amenities, good natural light."
Palmerston North Industrial — 6.4% Net Yield,"101 Tremaine Avenue, Palmerston North",Manawatu-Whanganui,"$1,780,000",113920,840,1600,Industrial,Industrial,6.4%,1%,1.8,Yes,2027,Bayleys Palmerston North,https://www.bayleys.co.nz/demo/006,2024-01-20,"840m² industrial building leased to a well-established local business on a 3+3 lease. Solid concrete construction, roller door, office wing. Good central Palmerston North location."
"Prime Industrial Land — 8,500m² Bare Site, Auckland","Lot 4 Highbrook Drive, East Tamaki, Auckland",Auckland,"$5,200,000",,,8500,Industrial Land,Business - Light Industrial,,,10.0,No,,Colliers Auckland,https://www.colliers.co.nz/demo/007,2024-04-08,"Rare 8,500m² bare industrial land in Highbrook Business Park — Auckland's premier industrial precinct. Fully serviced, resource consent available for up to 6,000m² warehouse. Excellent motorway access. Ideal for owner-occupier or build-to-lease development."
"Industrial Development Site — 3,200m², Christchurch","Waterloo Business Park, Hornby, Christchurch",Canterbury,"$1,650,000",,,3200,Industrial Land,General Industrial,,,10.0,No,,Bayleys Canterbury,https://www.bayleys.co.nz/demo/008,2024-03-25,"Fully serviced 3,200m² development site in Hornby's rapidly expanding business park. Vacant industrial land zoned General Industrial. Build your own purpose-built warehouse or factory. Services to boundary including 3-phase power and stormwater. Resource consent obtained for 1,800m² building."
"Large Industrial Landholding — Redevelopment Opportunity, Wiri","85 Wiri Station Road, Wiri, Auckland",Auckland,"$7,800,000",220000,1200,14500,Industrial,General Industrial,2.8%,0%,10.0,Yes,2025,Colliers Auckland,https://www.trademe.co.nz/demo/009,2024-04-03,"Substantial 14,500m² industrial landholding in Wiri, Auckland's key industrial hub. Existing 1,200m² building leased (low rental, short term). Major redevelopment opportunity — very low site coverage of 8%. Subdivisible into multiple lots. Perfect for large-scale warehouse complex. Close to motorway interchange and Auckland Airport."
"Hamilton Industrial Land — 5,000m² Build Your Own","Lot 12 Horotiu Road, Te Rapa, Hamilton",Waikato,"$1,950,000",,,5000,Industrial Land,General Industrial,,,10.0,No,,Bayleys Waikato,https://www.bayleys.co.nz/demo/010,2024-02-28,"5,000m² fully serviced bare industrial land in Te Rapa, Hamilton's primary industrial zone. Excellent access to State Highway 1. Surrounded by established industrial businesses. Ideal for warehouse, factory, or distribution centre. One of the last available lots in this popular development."
